Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2022-01-12-13:55:24,0,0,0,0,1,1,1,1,1,0,0,-0.979961249269904
2022-01-12-13:55:25,1,1,0,0,0,0,1,1,0,0,0,0.41969752976394
2022-01-12-13:55:26,1,0,0,1,0,1,0,1,1,1,1,-0.57955688427994
2022-01-12-13:55:27,1,1,0,0,1,1,0,1,1,1,1,-1.57628800069251
2022-01-12-13:55:28,0,1,0,1,0,1,1,0,1,0,0,-0.288941748748399
2022-01-12-13:55:29,0,0,0,0,0,0,0,0,0,0,0,1.01808020844099
2022-01-12-13:55:30,0,0,0,1,1,1,0,1,0,0,1,2.01021014787846
2022-01-12-13:55:31,0,1,1,0,1,0,1,0,0,0,0,1.01071481045389
2022-01-12-13:55:32,0,0,1,1,1,0,0,0,1,1,1,0.0107588255244071
2022-01-12-13:55:33,1,0,1,0,0,1,0,0,0,1,1,0.414883690192415
2022-01-12-13:55:34,0,1,1,0,0,1,0,0,0,1,0,1.01168736013066
2022-01-12-13:55:35,1,0,1,0,1,0,1,0,0,1,0,0.418692388974468
2022-01-12-13:55:35,1,0,1,1,0,1,0,0,0,0,0,1.42012447733042
2022-01-12-13:55:36,1,1,1,1,1,1,1,0,1,0,0,-0.881734718296322
2022-01-12-13:55:37,1,0,0,1,1,0,0,0,1,0,0,-0.579232249699234
2022-01-12-13:55:38,0,1,0,0,1,0,1,1,1,1,1,-0.988150211216345
2022-01-12-13:55:39,1,0,0,1,1,0,1,1,1,0,1,-0.879584504999984
2022-01-12-13:55:40,1,1,1,1,1,1,1,1,0,1,0,1.12082707988482
2022-01-12-13:55:41,0,0,1,1,0,1,1,1,0,1,0,1.71272415575163
2022-01-12-13:55:42,0,1,0,0,1,0,1,0,1,1,0,-0.986006221912402
2022-01-12-13:55:43,1,1,1,0,0,0,1,1,1,0,0,-1.58084035698503
2022-01-12-13:55:44,1,0,1,1,0,0,1,0,1,0,1,-0.882450536962227
2022-01-12-13:55:45,1,0,1,0,1,0,0,0,1,0,0,-1.57977824819586
2022-01-12-13:55:46,1,1,0,1,1,0,0,1,0,1,0,1.4225501566158
2022-01-12-13:55:47,0,1,0,0,1,1,0,1,0,1,0,1.01848047662272
2022-01-12-13:55:48,1,1,1,1,1,1,1,1,0,0,1,1.12102616877066
2022-01-12-13:55:49,1,1,0,1,0,1,0,0,0,0,1,1.41068160277284
2022-01-12-13:55:50,1,1,0,1,1,0,0,0,0,0,1,1.42063089728363
2022-01-12-13:55:51,0,0,0,1,0,0,0,0,1,0,1,0.0134918146700888
2022-01-12-13:55:52,0,0,1,1,0,1,1,1,1,0,0,-0.28931965249698
2022-01-12-13:55:53,1,0,0,0,1,1,1,0,0,0,1,0.41977630430767
2022-01-12-13:55:54,1,1,0,1,0,1,0,0,1,1,0,-0.581359494908089
2022-01-12-13:55:55,0,1,0,0,0,0,0,0,1,0,1,-0.987700130811464
2022-01-12-13:55:56,0,1,1,1,1,0,0,1,0,0,1,2.01929314775444
2022-01-12-13:55:57,0,1,0,1,0,1,0,0,0,1,0,2.01403887887754
2022-01-12-13:55:58,0,1,0,1,1,0,1,1,1,0,0,-0.286784299913851
2022-01-12-13:55:59,1,1,1,0,0,0,0,1,1,0,0,-1.58111070907506
2022-01-12-13:56:00,0,0,1,0,0,0,0,1,0,1,0,1.0142076827591
2022-01-12-13:56:01,1,0,0,0,0,1,1,0,0,0,0,0.419732514493748
2022-01-12-13:56:02,1,0,0,0,0,0,0,1,0,1,1,0.415072428015528
2022-01-12-13:56:03,0,0,1,1,1,1,0,1,1,0,0,0.0175163791542185
2022-01-12-13:56:03,0,0,1,0,0,1,1,1,1,1,0,-0.986330902799565
2022-01-12-13:56:04,0,0,0,1,1,1,1,0,1,1,0,-0.285898383574649
2022-01-12-13:56:05,0,1,0,1,0,1,0,1,1,1,1,0.0120314431068871
2022-01-12-13:56:06,0,0,0,0,1,1,1,0,0,0,1,1.0148657397724
2022-01-12-13:56:07,1,1,1,0,0,0,0,1,0,0,1,0.422431892425739
2022-01-12-13:56:08,1,1,0,0,1,1,0,0,1,1,0,-1.57713109050914
2022-01-12-13:56:09,0,0,0,0,1,0,0,1,0,1,0,1.01371879617885
2022-01-12-13:56:10,0,1,1,0,0,1,1,1,0,1,1,1.01819451794809
2022-01-12-13:56:11,1,0,0,1,0,0,1,0,1,1,1,-0.885312177271153
2022-01-12-13:56:12,1,0,0,1,0,0,1,1,0,1,0,1.12157832347991
2022-01-12-13:56:13,0,0,0,1,1,1,1,0,0,1,1,1.71501062268107
2022-01-12-13:56:14,0,0,1,1,0,0,1,1,0,0,1,1.7123029628106
2022-01-12-13:56:14,0,1,0,1,0,1,1,1,0,1,1,1.71022335783825
2022-01-12-13:56:15,0,0,1,1,1,0,0,0,0,1,0,2.01615472752205
2022-01-12-13:56:17,0,1,0,0,1,1,0,1,1,0,0,-0.98052404359775
2022-01-12-13:56:18,1,1,1,1,1,1,1,1,0,1,0,1.11865952745411
2022-01-12-13:56:18,1,0,1,0,0,1,0,1,1,1,1,-1.58476721268809
2022-01-12-13:56:19,0,0,0,0,0,1,0,1,1,0,1,-0.982653020847938
2022-01-12-13:56:20,0,1,0,1,0,0,1,1,0,0,1,1.71725969591663
2022-01-12-13:56:21,1,1,0,0,0,1,1,1,1,0,1,-1.57840802562826
2022-01-12-13:56:22,1,1,0,0,1,0,0,0,1,0,1,-1.58088760964888
2022-01-12-13:56:23,0,1,1,0,0,1,1,0,1,1,1,-0.983173888456836
2022-01-12-13:56:24,1,0,1,0,1,1,0,1,0,0,0,0.419623734952612
2022-01-12-13:56:25,0,1,0,1,1,0,1,0,0,0,0,1.71606236659216
2022-01-12-13:56:26,1,0,0,0,0,1,1,0,1,1,0,-1.57852897784907
2022-01-12-13:56:27,1,0,1,0,1,0,1,1,1,0,1,-1.58349463231504
2022-01-12-13:56:28,1,0,0,0,1,1,1,1,0,1,1,0.420049225165581
2022-01-12-13:56:29,0,1,1,1,0,0,0,1,1,1,0,0.00805717412521545
2022-01-12-13:56:30,1,0,1,1,0,0,1,0,0,1,1,1.11895408466487
2022-01-12-13:56:31,0,1,0,1,0,0,1,1,1,1,1,-0.28295298736165
2022-01-12-13:56:32,0,1,1,0,1,1,0,0,1,0,1,-0.98454849339101
2022-01-12-13:56:33,1,1,1,1,0,0,0,0,0,1,1,1.42204346926188
2022-01-12-13:56:34,0,0,0,0,0,0,1,0,1,1,0,-0.981911207092707
2022-01-12-13:56:34,1,0,0,1,1,0,1,1,1,1,0,-0.883792002035921
2022-01-12-13:56:35,0,0,1,0,1,0,1,1,1,1,1,-0.983810979654727
2022-01-12-13:56:36,1,0,0,1,0,1,0,1,1,0,0,-0.576619838542142
2022-01-12-13:56:37,0,1,1,1,0,0,0,0,1,0,0,0.0120954475797401
2022-01-12-13:56:38,1,1,0,0,0,1,1,1,0,0,0,0.422399167896922
2022-01-12-13:56:39,0,0,1,0,1,0,1,1,0,0,1,1.01453508996913
2022-01-12-13:56:40,1,1,1,1,1,1,1,0,1,0,1,-0.881149821727571
2022-01-12-13:56:41,1,1,0,0,0,0,1,0,0,1,1,0.420533954795022
2022-01-12-13:56:42,0,1,1,0,0,1,0,0,0,0,1,1.01863950449979
2022-01-12-13:56:43,1,1,1,1,1,1,1,0,0,1,0,1.12119577890856
2022-01-12-13:56:44,0,1,1,0,1,1,0,1,0,0,0,1.0205229162726
2022-01-12-13:56:45,0,1,1,1,1,0,0,1,1,1,1,0.0106531639073188
2022-01-12-13:56:46,0,0,0,1,1,1,0,0,0,1,1,2.00831780929207
2022-01-12-13:56:47,0,0,1,1,0,0,1,0,0,0,0,1.71707048667066
2022-01-12-13:56:48,1,1,1,0,0,0,1,0,1,1,0,-1.58308750094335
2022-01-12-13:56:48,0,0,0,0,0,0,0,0,0,0,0,1.01464436888074
2022-01-12-13:56:49,1,1,1,1,0,0,0,1,1,1,0,-0.579242005250772
2022-01-12-13:56:50,1,0,1,0,1,0,0,1,1,1,1,-1.58128139434723
2022-01-12-13:56:51,1,0,1,0,1,1,0,0,1,1,0,-1.58121449810157
2022-01-12-13:56:52,1,0,0,1,1,0,0,1,0,0,0,1.41755732045358
2022-01-12-13:56:53,1,1,0,0,1,0,0,0,0,1,1,0.419744855203544
2022-01-12-13:56:54,1,1,1,1,1,1,1,0,1,0,1,-0.88206030993563
2022-01-12-13:56:55,0,0,1,1,1,1,0,0,1,1,1,0.0175076128817597
2022-01-12-13:56:56,0,0,1,0,0,1,1,0,1,0,1,-0.986341270184844
2022-01-12-13:56:57,1,0,1,1,0,1,0,1,0,0,1,1.42259554277562
2022-01-12-13:56:58,0,1,1,0,1,0,1,0,0,1,1,1.01355040687187
2022-01-12-14:48:50,0.431163780095521,0,0,0.358385270833969,0,0,0.518216310434509,0,0.403579357131384,0,0,0.930059187962962
2022-01-12-14:48:50,0.617266837526113,0,0,0.372605321337469,0,0,0.591183521023486,0,0.524762591808103,0,0,1.50094192057835
2022-01-12-14:48:51,0.747205938915722,0,0,0.729752407788765,0,0,0.292331515860278,0,0.570769869408105,0,0,2.23626599555949
2022-01-12-14:48:52,0.233475404500496,0,0,0.561269550393335,0,0,0.851993971830234,0,0.612715159892105,0,0,0.309700867565043
2022-01-12-14:48:53,0.933602582321037,0,0,0.556027816804126,0,0,0.229471133404877,0,0.606949733830988,0,0,0.125347069832266
2022-01-12-14:48:54,0.568299360652454,0,0,0.508208828757051,0,0,0.491313058985397,0,0.235509078979958,0,0,1.93625495191796
2022-01-12-14:48:55,0.378045324166305,0,0,0.395712921272498,0,0,0.543143550003879,0,0.750848032645881,0,0,0.142449053142489
2022-01-12-14:48:56,0.52545888470253,0,0,0.435379748314153,0,0,0.31801426526159,0,0.629045328146312,0,0,0.903789888967792
2022-01-12-14:48:56,0.242080638124608,0,0,0.401564876204357,0,0,0.926849525016733,0,0.359545495610218,0,0,0.692748875957522
2022-01-12-14:48:57,0.44391417811159,0,0,0.844032803985756,0,0,0.472866061984096,0,0.417415264744777,0,0,1.36000647016796
2022-01-12-14:48:58,0.509459043985698,0,0,0.791927619741764,0,0,0.393288419812452,0,0.0263390718097798,0,0,2.34444620652277
2022-01-12-14:48:59,0.461050689385738,0,0,0.264228149468545,0,0,0.302810276143719,0,0.539333468275145,0,0,0.688627688388071
2022-01-12-14:49:00,0.340487561465707,0,0,0.360911160970572,0,0,0.266690321580973,0,0.39309046177892,0,0,0.79023491495113
2022-01-12-14:49:01,0.329462169394828,0,0,0.530300407188479,0,0,0.175224712882191,0,0.248911867015995,0,0,1.23015197820962
2022-01-12-14:49:02,0.949258721307851,0,0,0.173218617571983,0,0,0.861039037676528,0,0.495170245633926,0,0,-0.17096985079752
2022-01-12-14:49:03,0.773029720133636,0,0,0.418178475198802,0,0,0.669013992012478,0,0.365486162428278,0,0,2.24138907426088
2022-01-12-14:49:04,0.538682662753854,0,0,0.510102662178688,0,0,0.654888037757482,0,0.794697084294166,0,0,0.650872070556856
2022-01-12-14:49:04,0.760109219390433,0,0,0.774356441737618,0,0,0.212682860153727,0,0.263196093058214,0,0,2.88210144678661
2022-01-12-14:49:05,0.714132080317941,0,0,0.5716255862033,0,0,0.169673702439759,0,0.477413440304808,0,0,2.28091806387614
2022-01-12-14:49:06,0.472997956618201,0,0,0.66980879568262,0,0,0.818262095178943,0,0.0414586189109832,0,0,1.9840097965719
2022-01-12-14:49:07,0.417544251806103,0,0,0.297603433062322,0,0,0.83947956297081,0,0.646938077143859,0,0,0.330034707554258
2022-01-12-14:49:08,0.682123927725479,0,0,0.4501121046138,0,0,0.957558853346854,0,0.105965194432065,0,0,2.69418427960105
2022-01-12-14:49:09,0.39155014913762,0,0,0.616682558953762,0,0,0.468483047396876,0,0.458471491481177,0,0,0.95473201561429
2022-01-12-14:49:10,0.600169131613802,0,0,0.186751588301267,0,0,0.752261107123923,0,0.446168242353015,0,0,1.39778212741882
2022-01-12-14:49:11,0.17336793072056,0,0,0.867189063958358,0,0,0.157168451144826,0,0.559747819607146,0,0,0.779601493115171
2022-01-12-14:49:11,0.6579581141565,0,0,0.441716009068768,0,0,0.338331091329455,0,0.633640198863577,0,0,1.59745934380178
2022-01-12-14:49:12,0.0792603742820211,0,0,0.712817673725076,0,0,0.0563266265392304,0,0.179946998236701,0,0,1.37542582023195
2022-01-12-14:49:13,0.0266201793914661,0,0,0.58673112739576,0,0,0.238679710526485,0,0.902933105544653,0,0,-0.243025916671246
2022-01-12-14:49:14,0.84228061654605,0,0,0.486614640546031,0,0,0.762412517033517,0,0.211648080141749,0,0,1.9380705533567
2022-01-12-14:49:15,0.389042501281947,0,0,0.675152577755507,0,0,0.608702636978123,0,0.713261111963075,0,0,0.457337339663788
2022-01-12-14:49:16,0.312596673073713,0,0,0.23923523905687,0,0,0.620517757073976,0,0.767402010282967,0,0,-0.136098403263711
