Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2022-01-12-13:55:24,0,0,0,0,1,1,1,1,1,0,0,-0.979961249269904
2022-01-12-13:55:25,1,1,0,0,0,0,1,1,0,0,0,0.41969752976394
2022-01-12-13:55:26,1,0,0,1,0,1,0,1,1,1,1,-0.57955688427994
2022-01-12-13:55:27,1,1,0,0,1,1,0,1,1,1,1,-1.57628800069251
2022-01-12-13:55:28,0,1,0,1,0,1,1,0,1,0,0,-0.288941748748399
2022-01-12-13:55:29,0,0,0,0,0,0,0,0,0,0,0,1.01808020844099
2022-01-12-13:55:30,0,0,0,1,1,1,0,1,0,0,1,2.01021014787846
2022-01-12-13:55:31,0,1,1,0,1,0,1,0,0,0,0,1.01071481045389
2022-01-12-13:55:32,0,0,1,1,1,0,0,0,1,1,1,0.0107588255244071
2022-01-12-13:55:33,1,0,1,0,0,1,0,0,0,1,1,0.414883690192415
2022-01-12-13:55:34,0,1,1,0,0,1,0,0,0,1,0,1.01168736013066
2022-01-12-13:55:35,1,0,1,0,1,0,1,0,0,1,0,0.418692388974468
2022-01-12-13:55:35,1,0,1,1,0,1,0,0,0,0,0,1.42012447733042
2022-01-12-13:55:36,1,1,1,1,1,1,1,0,1,0,0,-0.881734718296322
2022-01-12-13:55:37,1,0,0,1,1,0,0,0,1,0,0,-0.579232249699234
2022-01-12-13:55:38,0,1,0,0,1,0,1,1,1,1,1,-0.988150211216345
2022-01-12-13:55:39,1,0,0,1,1,0,1,1,1,0,1,-0.879584504999984
2022-01-12-13:55:40,1,1,1,1,1,1,1,1,0,1,0,1.12082707988482
2022-01-12-13:55:41,0,0,1,1,0,1,1,1,0,1,0,1.71272415575163
2022-01-12-13:55:42,0,1,0,0,1,0,1,0,1,1,0,-0.986006221912402
2022-01-12-13:55:43,1,1,1,0,0,0,1,1,1,0,0,-1.58084035698503
2022-01-12-13:55:44,1,0,1,1,0,0,1,0,1,0,1,-0.882450536962227
2022-01-12-13:55:45,1,0,1,0,1,0,0,0,1,0,0,-1.57977824819586
2022-01-12-13:55:46,1,1,0,1,1,0,0,1,0,1,0,1.4225501566158
2022-01-12-13:55:47,0,1,0,0,1,1,0,1,0,1,0,1.01848047662272
2022-01-12-13:55:48,1,1,1,1,1,1,1,1,0,0,1,1.12102616877066
2022-01-12-13:55:49,1,1,0,1,0,1,0,0,0,0,1,1.41068160277284
2022-01-12-13:55:50,1,1,0,1,1,0,0,0,0,0,1,1.42063089728363
2022-01-12-13:55:51,0,0,0,1,0,0,0,0,1,0,1,0.0134918146700888
2022-01-12-13:55:52,0,0,1,1,0,1,1,1,1,0,0,-0.28931965249698
2022-01-12-13:55:53,1,0,0,0,1,1,1,0,0,0,1,0.41977630430767
2022-01-12-13:55:54,1,1,0,1,0,1,0,0,1,1,0,-0.581359494908089
2022-01-12-13:55:55,0,1,0,0,0,0,0,0,1,0,1,-0.987700130811464
2022-01-12-13:55:56,0,1,1,1,1,0,0,1,0,0,1,2.01929314775444
2022-01-12-13:55:57,0,1,0,1,0,1,0,0,0,1,0,2.01403887887754
2022-01-12-13:55:58,0,1,0,1,1,0,1,1,1,0,0,-0.286784299913851
2022-01-12-13:55:59,1,1,1,0,0,0,0,1,1,0,0,-1.58111070907506
2022-01-12-13:56:00,0,0,1,0,0,0,0,1,0,1,0,1.0142076827591
2022-01-12-13:56:01,1,0,0,0,0,1,1,0,0,0,0,0.419732514493748
2022-01-12-13:56:02,1,0,0,0,0,0,0,1,0,1,1,0.415072428015528
2022-01-12-13:56:03,0,0,1,1,1,1,0,1,1,0,0,0.0175163791542185
2022-01-12-13:56:03,0,0,1,0,0,1,1,1,1,1,0,-0.986330902799565
2022-01-12-13:56:04,0,0,0,1,1,1,1,0,1,1,0,-0.285898383574649
2022-01-12-13:56:05,0,1,0,1,0,1,0,1,1,1,1,0.0120314431068871
2022-01-12-13:56:06,0,0,0,0,1,1,1,0,0,0,1,1.0148657397724
2022-01-12-13:56:07,1,1,1,0,0,0,0,1,0,0,1,0.422431892425739
2022-01-12-13:56:08,1,1,0,0,1,1,0,0,1,1,0,-1.57713109050914
2022-01-12-13:56:09,0,0,0,0,1,0,0,1,0,1,0,1.01371879617885
2022-01-12-13:56:10,0,1,1,0,0,1,1,1,0,1,1,1.01819451794809
2022-01-12-13:56:11,1,0,0,1,0,0,1,0,1,1,1,-0.885312177271153
2022-01-12-13:56:12,1,0,0,1,0,0,1,1,0,1,0,1.12157832347991
2022-01-12-13:56:13,0,0,0,1,1,1,1,0,0,1,1,1.71501062268107
2022-01-12-13:56:14,0,0,1,1,0,0,1,1,0,0,1,1.7123029628106
2022-01-12-13:56:14,0,1,0,1,0,1,1,1,0,1,1,1.71022335783825
2022-01-12-13:56:15,0,0,1,1,1,0,0,0,0,1,0,2.01615472752205
2022-01-12-13:56:17,0,1,0,0,1,1,0,1,1,0,0,-0.98052404359775
2022-01-12-13:56:18,1,1,1,1,1,1,1,1,0,1,0,1.11865952745411
2022-01-12-13:56:18,1,0,1,0,0,1,0,1,1,1,1,-1.58476721268809
2022-01-12-13:56:19,0,0,0,0,0,1,0,1,1,0,1,-0.982653020847938
2022-01-12-13:56:20,0,1,0,1,0,0,1,1,0,0,1,1.71725969591663
2022-01-12-13:56:21,1,1,0,0,0,1,1,1,1,0,1,-1.57840802562826
2022-01-12-13:56:22,1,1,0,0,1,0,0,0,1,0,1,-1.58088760964888
2022-01-12-13:56:23,0,1,1,0,0,1,1,0,1,1,1,-0.983173888456836
2022-01-12-13:56:24,1,0,1,0,1,1,0,1,0,0,0,0.419623734952612
2022-01-12-13:56:25,0,1,0,1,1,0,1,0,0,0,0,1.71606236659216
2022-01-12-13:56:26,1,0,0,0,0,1,1,0,1,1,0,-1.57852897784907
2022-01-12-13:56:27,1,0,1,0,1,0,1,1,1,0,1,-1.58349463231504
2022-01-12-13:56:28,1,0,0,0,1,1,1,1,0,1,1,0.420049225165581
2022-01-12-13:56:29,0,1,1,1,0,0,0,1,1,1,0,0.00805717412521545
2022-01-12-13:56:30,1,0,1,1,0,0,1,0,0,1,1,1.11895408466487
2022-01-12-13:56:31,0,1,0,1,0,0,1,1,1,1,1,-0.28295298736165
2022-01-12-13:56:32,0,1,1,0,1,1,0,0,1,0,1,-0.98454849339101
2022-01-12-13:56:33,1,1,1,1,0,0,0,0,0,1,1,1.42204346926188
2022-01-12-13:56:34,0,0,0,0,0,0,1,0,1,1,0,-0.981911207092707
2022-01-12-13:56:34,1,0,0,1,1,0,1,1,1,1,0,-0.883792002035921
2022-01-12-13:56:35,0,0,1,0,1,0,1,1,1,1,1,-0.983810979654727
2022-01-12-13:56:36,1,0,0,1,0,1,0,1,1,0,0,-0.576619838542142
2022-01-12-13:56:37,0,1,1,1,0,0,0,0,1,0,0,0.0120954475797401
2022-01-12-13:56:38,1,1,0,0,0,1,1,1,0,0,0,0.422399167896922
2022-01-12-13:56:39,0,0,1,0,1,0,1,1,0,0,1,1.01453508996913
2022-01-12-13:56:40,1,1,1,1,1,1,1,0,1,0,1,-0.881149821727571
2022-01-12-13:56:41,1,1,0,0,0,0,1,0,0,1,1,0.420533954795022
2022-01-12-13:56:42,0,1,1,0,0,1,0,0,0,0,1,1.01863950449979
2022-01-12-13:56:43,1,1,1,1,1,1,1,0,0,1,0,1.12119577890856
2022-01-12-13:56:44,0,1,1,0,1,1,0,1,0,0,0,1.0205229162726
2022-01-12-13:56:45,0,1,1,1,1,0,0,1,1,1,1,0.0106531639073188
2022-01-12-13:56:46,0,0,0,1,1,1,0,0,0,1,1,2.00831780929207
2022-01-12-13:56:47,0,0,1,1,0,0,1,0,0,0,0,1.71707048667066
2022-01-12-13:56:48,1,1,1,0,0,0,1,0,1,1,0,-1.58308750094335
2022-01-12-13:56:48,0,0,0,0,0,0,0,0,0,0,0,1.01464436888074
2022-01-12-13:56:49,1,1,1,1,0,0,0,1,1,1,0,-0.579242005250772
2022-01-12-13:56:50,1,0,1,0,1,0,0,1,1,1,1,-1.58128139434723
2022-01-12-13:56:51,1,0,1,0,1,1,0,0,1,1,0,-1.58121449810157
2022-01-12-13:56:52,1,0,0,1,1,0,0,1,0,0,0,1.41755732045358
2022-01-12-13:56:53,1,1,0,0,1,0,0,0,0,1,1,0.419744855203544
2022-01-12-13:56:54,1,1,1,1,1,1,1,0,1,0,1,-0.88206030993563
2022-01-12-13:56:55,0,0,1,1,1,1,0,0,1,1,1,0.0175076128817597
2022-01-12-13:56:56,0,0,1,0,0,1,1,0,1,0,1,-0.986341270184844
2022-01-12-13:56:57,1,0,1,1,0,1,0,1,0,0,1,1.42259554277562
2022-01-12-13:56:58,0,1,1,0,1,0,1,0,0,1,1,1.01355040687187
